livestockType,productionType,productionSystem,numberOfAnimals,cycleDuration,location,housingType,vaccinationProgram,vetServiceFrequency,medicationIntensity,feedPrice,laborCost,electricityCost,totalCostEstimation
poultry,layer,deep litter,67,68,South-East,premium,intensive,weekly,medium,35064,43383,18332,165343
cattle,dairy,extensive,321,23,North-Central,standard,intensive,quarterly,low,26607,48312,17126,279152
poultry,broiler,intensive,89,34,North-West,basic,minimal,quarterly,low,15285,70861,6252,152183
poultry,layer,deep litter,282,78,South-East,standard,minimal,quarterly,low,41042,17501,23024,263609
cattle,dairy,semi-intensive,67,14,South-West,standard,intensive,quarterly,medium,25928,97988,9493,192837
poultry,broiler,battery cage,349,22,North-Central,premium,intensive,monthly,low,41755,67823,17949,343782
poultry,broiler,intensive,412,26,South-East,premium,minimal,weekly,low,22431,16111,13416,280389
cattle,beef,intensive,388,21,South-West,standard,minimal,weekly,high,18874,72600,24855,329203
poultry,broiler,intensive,321,29,South-West,premium,standard,weekly,medium,45904,53475,19262,325045
cattle,dairy,extensive,226,12,North-West,basic,standard,weekly,low,25173,44503,17619,225468
cattle,beef,semi-intensive,257,18,North-Central,premium,minimal,quarterly,low,44790,54547,24319,296946
poultry,layer,intensive,429,34,South-West,premium,standard,quarterly,high,31542,50135,20131,347850
cattle,beef,intensive,272,23,South-East,basic,minimal,weekly,low,48461,46282,13589,292793
poultry,broiler,intensive,472,51,North-West,basic,minimal,quarterly,low,25108,80290,16867,383373
poultry,broiler,intensive,414,59,North-West,standard,intensive,quarterly,medium,46768,75048,13529,389113
poultry,broiler,intensive,47,30,South-West,premium,standard,quarterly,low,24866,68571,6301,148104
poultry,broiler,intensive,423,76,South-West,standard,minimal,weekly,low,44844,59605,10600,371393
cattle,dairy,intensive,64,21,North-West,premium,minimal,weekly,medium,18543,86560,11029,166675
cattle,dairy,extensive,474,21,South-East,basic,minimal,monthly,medium,45682,95252,25379,448995
cattle,dairy,semi-intensive,157,33,South-West,basic,standard,monthly,medium,30019,80828,20659,240025
cattle,dairy,intensive,320,24,South-West,basic,minimal,monthly,low,26724,55328,11169,279945
poultry,broiler,battery cage,204,30,South-East,premium,standard,quarterly,medium,43749,15223,29805,234526
poultry,broiler,intensive,93,79,South-East,premium,standard,weekly,low,43973,45847,7100,187393
cattle,dairy,semi-intensive,320,23,South-West,standard,intensive,quarterly,low,33270,14404,18595,259539
cattle,dairy,semi-intensive,500,19,North-West,premium,intensive,monthly,low,45594,81762,18586,441536
cattle,beef,extensive,469,19,North-West,premium,intensive,monthly,high,35236,22487,20137,347596
cattle,beef,semi-intensive,122,28,North-Central,standard,intensive,quarterly,high,32191,29447,22261,177090
cattle,beef,semi-intensive,375,30,South-East,standard,standard,quarterly,high,16785,53911,8985,283966
poultry,broiler,deep litter,41,43,South-West,standard,intensive,weekly,high,20747,29360,6217,97571
cattle,dairy,intensive,129,32,South-West,premium,intensive,weekly,low,18583,97520,29619,228805
cattle,beef,semi-intensive,344,19,South-East,premium,standard,monthly,medium,45729,71005,17833,352296
poultry,layer,deep litter,392,6,North-Central,premium,standard,quarterly,high,37098,60373,10188,340757
poultry,broiler,deep litter,84,75,North-West,standard,minimal,monthly,medium,17757,21943,13828,113285
poultry,layer,intensive,44,16,South-East,premium,minimal,quarterly,medium,30430,84599,23524,190983
cattle,beef,extensive,231,34,North-West,basic,standard,quarterly,low,46046,52936,29188,289716
cattle,dairy,extensive,347,28,South-West,premium,minimal,quarterly,high,27690,89043,26494,344417
cattle,dairy,semi-intensive,255,36,South-East,premium,standard,weekly,high,49533,30593,14697,271856
poultry,layer,intensive,406,34,South-West,standard,minimal,weekly,low,33516,43437,19590,333059
poultry,layer,deep litter,457,38,South-East,premium,standard,monthly,low,27788,56734,15646,356456
poultry,broiler,battery cage,267,8,South-West,premium,standard,quarterly,low,38278,19467,6394,235917
cattle,dairy,extensive,193,32,North-Central,premium,minimal,monthly,high,23726,12215,14175,170342
cattle,dairy,extensive,63,29,North-West,premium,minimal,weekly,medium,32560,61819,19410,177849
poultry,layer,deep litter,332,10,North-West,premium,minimal,weekly,medium,22797,62592,15737,289923
poultry,layer,intensive,72,40,South-West,standard,minimal,monthly,high,43023,16580,6387,145013
cattle,beef,semi-intensive,469,19,North-Central,standard,minimal,monthly,high,32168,59496,17164,375496
cattle,beef,semi-intensive,285,21,North-West,premium,standard,weekly,medium,28664,90839,28798,319465
cattle,dairy,extensive,227,34,North-West,standard,minimal,weekly,high,37854,25553,15419,230180
cattle,dairy,semi-intensive,138,24,South-East,standard,minimal,weekly,medium,42844,55870,7856,218414
cattle,beef,semi-intensive,289,36,North-Central,premium,minimal,quarterly,medium,28230,19972,10748,231680
poultry,broiler,deep litter,225,13,North-Central,premium,intensive,weekly,high,28137,66593,23217,258584
poultry,layer,deep litter,168,16,North-West,basic,standard,monthly,high,25130,16087,20749,171096
poultry,broiler,battery cage,308,22,South-West,premium,minimal,quarterly,low,32851,33240,20089,273031
poultry,broiler,deep litter,438,10,North-Central,basic,intensive,weekly,low,47736,58449,25444,398365
poultry,layer,deep litter,482,35,North-West,premium,minimal,weekly,medium,18846,54662,12907,346261
poultry,layer,deep litter,280,23,South-East,basic,standard,monthly,high,30241,40659,29238,270379
poultry,broiler,deep litter,213,80,North-West,premium,standard,monthly,high,22431,49000,8342,208704
cattle,dairy,intensive,360,16,North-Central,premium,standard,quarterly,low,32521,89615,13623,348280
poultry,layer,intensive,114,54,South-West,basic,minimal,monthly,medium,41327,92828,24487,256969
poultry,layer,deep litter,404,44,North-Central,standard,minimal,quarterly,low,26836,67420,8077,331169
cattle,beef,semi-intensive,55,23,North-Central,basic,standard,quarterly,medium,27432,55587,24119,162070
cattle,dairy,extensive,379,25,North-West,standard,standard,quarterly,high,42080,36731,11251,321642
poultry,broiler,intensive,257,14,North-West,basic,standard,quarterly,high,33683,95006,20596,311468
poultry,layer,deep litter,99,36,South-West,standard,intensive,monthly,medium,39608,32864,24851,186431
poultry,layer,intensive,184,26,North-Central,basic,intensive,weekly,low,15935,20709,15708,160287
poultry,layer,battery cage,454,35,North-Central,standard,intensive,quarterly,medium,21911,75427,17555,363804
poultry,broiler,intensive,350,64,North-Central,basic,standard,weekly,low,40042,67746,18524,341354
cattle,beef,semi-intensive,351,31,South-East,basic,standard,monthly,high,24607,91674,27688,344076
cattle,beef,extensive,488,29,South-East,basic,intensive,quarterly,high,23495,77284,20483,388757
cattle,dairy,intensive,157,31,South-East,basic,intensive,quarterly,medium,45439,92073,7582,269033
cattle,beef,semi-intensive,497,15,South-West,standard,standard,monthly,medium,17723,88413,24506,396865
poultry,layer,deep litter,162,30,North-Central,premium,standard,monthly,high,48772,25827,11447,215818
cattle,beef,extensive,398,33,South-West,basic,minimal,weekly,medium,36448,45139,15504,332539
cattle,beef,intensive,175,21,South-East,standard,minimal,quarterly,low,42726,66154,5535,244641
poultry,layer,deep litter,140,47,North-Central,basic,intensive,weekly,high,22106,92729,15044,221985
poultry,layer,battery cage,122,58,North-West,standard,minimal,quarterly,medium,40386,89754,5194,236720
cattle,beef,semi-intensive,85,17,South-East,standard,minimal,monthly,low,49596,87819,21280,250791
poultry,layer,battery cage,48,55,North-Central,premium,standard,weekly,medium,27586,44575,25596,149343
poultry,broiler,deep litter,269,26,North-West,standard,standard,weekly,low,28949,83789,13401,289588
poultry,layer,deep litter,34,31,South-East,basic,standard,quarterly,low,41240,89148,17514,206142
cattle,beef,intensive,455,23,South-East,basic,minimal,quarterly,medium,45650,39058,14697,372555
poultry,layer,intensive,46,15,North-Central,premium,intensive,quarterly,high,26685,40383,8995,125748
poultry,broiler,deep litter,270,66,South-West,basic,standard,quarterly,low,33143,90445,6794,298525
cattle,beef,semi-intensive,435,23,South-East,basic,standard,weekly,low,37021,72403,13076,377021
cattle,dairy,semi-intensive,83,17,North-West,premium,minimal,quarterly,medium,27236,43984,22257,162213
poultry,layer,deep litter,198,39,South-West,premium,minimal,monthly,low,17402,45046,16549,195399
poultry,layer,battery cage,353,38,North-Central,premium,minimal,monthly,medium,21621,52666,22593,295001
poultry,layer,deep litter,102,35,North-West,standard,intensive,monthly,low,30215,61686,18912,192028
cattle,beef,extensive,438,24,North-West,standard,intensive,monthly,high,33240,35012,28124,348616
poultry,broiler,deep litter,195,64,North-West,premium,standard,weekly,medium,25581,57966,13223,219851
poultry,layer,intensive,34,20,North-Central,premium,standard,monthly,medium,36635,33470,8001,131741
cattle,dairy,extensive,101,31,South-West,standard,minimal,weekly,medium,38047,14992,26677,168263
cattle,beef,extensive,366,36,North-Central,premium,minimal,monthly,medium,46673,64888,14609,355843
poultry,broiler,battery cage,399,71,South-East,premium,minimal,weekly,low,32673,50707,27989,343542
cattle,dairy,extensive,273,30,South-East,basic,intensive,quarterly,high,25747,16608,27374,231976
poultry,layer,battery cage,259,53,North-West,premium,minimal,quarterly,medium,46995,18746,22765,265001
poultry,layer,intensive,327,66,North-West,standard,minimal,monthly,medium,30002,57296,15264,296064
poultry,layer,deep litter,261,53,South-West,standard,minimal,quarterly,medium,15593,69415,10129,241230
poultry,broiler,deep litter,388,30,North-Central,premium,standard,monthly,high,41883,56821,10711,345298
cattle,beef,semi-intensive,172,17,North-West,basic,standard,monthly,high,35798,16498,27578,201672
poultry,layer,battery cage,169,73,South-West,premium,minimal,quarterly,low,15722,12295,22605,150844
poultry,broiler,intensive,17,25,North-Central,premium,intensive,weekly,high,45208,50671,22816,172403
cattle,beef,semi-intensive,137,26,South-West,standard,intensive,monthly,medium,20901,28271,26171,164744
cattle,dairy,semi-intensive,30,18,South-West,standard,minimal,quarterly,medium,41792,86759,28844,214187
cattle,beef,intensive,453,16,South-East,standard,minimal,monthly,high,24971,12573,14146,303161
cattle,beef,extensive,119,19,North-West,standard,minimal,monthly,high,21414,19043,19861,141232
cattle,beef,intensive,355,32,North-West,standard,standard,monthly,high,25658,23868,10762,263446
cattle,dairy,intensive,105,14,North-West,standard,standard,weekly,low,33666,32199,6439,158470
poultry,layer,intensive,480,52,North-West,basic,minimal,weekly,low,45952,84073,5412,421389
poultry,layer,intensive,76,66,South-West,premium,minimal,quarterly,low,32284,42699,25339,170606
poultry,broiler,battery cage,67,62,South-East,premium,intensive,monthly,high,47154,79163,18718,225689
poultry,broiler,deep litter,452,17,South-West,standard,intensive,quarterly,low,31260,32338,16856,337714
poultry,layer,battery cage,16,13,South-West,premium,standard,monthly,medium,24652,36520,22201,116025
cattle,beef,semi-intensive,377,20,South-East,premium,intensive,quarterly,low,15121,42240,28616,289598
cattle,beef,extensive,135,20,South-East,standard,minimal,quarterly,high,31194,23552,18054,171494
poultry,broiler,intensive,471,26,North-West,standard,intensive,quarterly,medium,35553,48304,12907,367817
poultry,broiler,battery cage,345,55,South-West,premium,minimal,quarterly,high,38993,53439,27457,331382
cattle,beef,semi-intensive,187,20,South-East,premium,intensive,quarterly,low,43780,97644,10610,289314
cattle,beef,semi-intensive,471,18,North-West,premium,intensive,quarterly,medium,32265,68243,26471,394744
cattle,dairy,extensive,77,17,North-West,premium,minimal,quarterly,low,35266,97047,16851,222930
poultry,layer,deep litter,175,78,North-Central,standard,standard,monthly,medium,17884,79069,6782,209119
poultry,layer,battery cage,136,71,North-Central,standard,standard,weekly,high,46465,51706,11078,223714
cattle,beef,semi-intensive,200,33,North-West,standard,minimal,monthly,high,43582,28299,8994,224457
poultry,layer,intensive,22,32,South-West,standard,intensive,quarterly,low,37665,29027,18333,133690
poultry,broiler,intensive,60,72,South-East,standard,intensive,monthly,low,31913,18262,8240,120328
poultry,broiler,deep litter,220,67,North-Central,standard,minimal,weekly,low,27615,22903,11827,199960
cattle,beef,intensive,431,33,North-West,basic,intensive,quarterly,medium,48284,92683,19111,423862
cattle,beef,extensive,418,24,South-West,basic,standard,weekly,high,36564,37664,12346,332138
cattle,dairy,extensive,395,31,South-West,standard,minimal,monthly,medium,38904,39554,5502,320364
poultry,layer,deep litter,381,63,South-East,basic,minimal,monthly,medium,35985,37767,14886,315123
poultry,broiler,deep litter,184,56,South-East,premium,intensive,monthly,medium,49206,94540,23609,308561
poultry,layer,deep litter,310,43,South-West,basic,intensive,weekly,medium,25721,95304,10489,312235
poultry,layer,deep litter,169,30,South-East,premium,standard,weekly,low,45160,37670,19952,232442
cattle,beef,extensive,408,24,South-West,basic,standard,weekly,low,35674,39721,23529,338598
poultry,layer,deep litter,99,55,North-West,premium,standard,weekly,low,15050,35791,11962,127353
cattle,dairy,semi-intensive,457,18,South-East,standard,minimal,quarterly,medium,17896,31315,15605,311212
cattle,dairy,extensive,169,19,North-Central,premium,minimal,monthly,low,37560,64788,20209,244617
cattle,dairy,intensive,26,16,North-West,standard,intensive,weekly,medium,45540,16171,20301,140552
cattle,beef,extensive,332,23,South-West,standard,intensive,monthly,high,39304,59520,13926,318054
cattle,dairy,intensive,345,17,South-West,premium,minimal,weekly,low,25909,43137,7721,275176
cattle,beef,intensive,225,12,South-East,basic,intensive,quarterly,low,19784,87955,25183,265206
poultry,broiler,intensive,263,80,North-Central,standard,standard,weekly,medium,42446,13360,20851,250603
cattle,beef,extensive,208,21,North-Central,basic,minimal,quarterly,high,32489,70432,10221,249631
poultry,broiler,deep litter,183,80,South-East,basic,standard,monthly,high,22917,56743,17880,211957
cattle,beef,extensive,257,17,North-Central,basic,intensive,weekly,high,37279,73142,11073,287273
cattle,beef,semi-intensive,411,19,North-Central,standard,intensive,quarterly,medium,38299,95233,27330,404661
poultry,layer,intensive,351,45,South-West,standard,minimal,monthly,low,49090,53159,7443,334282
cattle,dairy,intensive,240,15,North-Central,premium,minimal,monthly,low,33422,25225,13907,225976
poultry,layer,deep litter,104,64,North-Central,basic,standard,weekly,low,45096,95872,14801,252865
cattle,beef,intensive,204,27,North-West,basic,standard,monthly,low,25420,40868,16175,209883
cattle,beef,extensive,300,25,North-Central,standard,minimal,monthly,high,17825,19157,28214,233021
cattle,beef,semi-intensive,101,35,North-Central,standard,minimal,weekly,high,41016,37885,25180,195597
poultry,broiler,intensive,329,22,South-East,basic,standard,quarterly,low,48964,18208,5502,286138
poultry,layer,battery cage,238,72,North-West,standard,intensive,weekly,medium,24766,90264,16656,275452
poultry,broiler,intensive,414,44,North-West,basic,standard,monthly,medium,19220,91932,15560,352932
poultry,layer,battery cage,69,44,North-Central,basic,intensive,monthly,medium,49463,10060,16919,160405
poultry,layer,deep litter,94,10,South-West,standard,minimal,quarterly,low,46092,82543,29089,250816
poultry,layer,intensive,104,28,North-West,standard,standard,quarterly,high,33316,85505,13119,217256
poultry,broiler,intensive,259,10,South-West,basic,standard,quarterly,low,41988,30196,13751,257423
poultry,broiler,intensive,231,18,North-Central,premium,intensive,quarterly,medium,30071,51010,20783,247435
poultry,layer,battery cage,330,60,North-West,basic,intensive,quarterly,high,25816,83421,7496,307549
