year,month,livestockType,productionType,productionSystem,numberOfAnimals,cycleDuration,location,housingStatus,housingType,capacity,equipmentCount,feedPrice,laborCost,electricityCost,mortalityRate,vaccinationProgram,vaccinesUsed,vetServiceFrequency,medicationIntensity,diseaseRiskLevel,parasiteControl,sellingPricePerKg,eggPricePerEgg,milkPricePerLiter,totalCostEstimation,projectedRevenue,projectedProfit,roi
2020,11,poultry,broiler,battery cage,507,4,Abia,existing,existing,537,4,339382,8293,6036,2.0,minimal,LaSota (Newcastle),weekly,high,medium,none,1166,23,0,538259,1274545,736286,136.79
2020,11,poultry,broiler,semi-intensive,1707,2,Abia,existing,existing,2141,3,964366,48543,8083,4.7,intensive,LaSota + Gumboro + Marek's + IB,weekly,medium,high,none,854,26,0,1613662,3056377,1442715,89.41
2020,10,poultry,layer,deep litter,1938,8,Abia,existing,existing,2322,4,1454327,45429,8518,4.2,standard,LaSota + Gumboro (IBD),weekly,high,medium,none,929,25,0,2267970,1856604,-411366,-18.14
2020,5,poultry,layer,semi-intensive,978,12,Abia,need-to-build,wooden,1134,2,749841,37459,14106,4.9,minimal,LaSota (Newcastle),weekly,low,medium,none,838,44,0,1420284,2455406,1035122,72.88
2020,4,cattle,beef,mixed,76,13,Abia,not-required,existing,82,2,4342822,45019,5144,5.1,basic,CBPP vaccine only,monthly,medium,medium,regular,1377,0,0,4420862,24828687,20407825,461.63
2020,4,cattle,beef,mixed,63,10,Abia,need-to-build,wooden,69,1,2742850,108832,16796,4.6,standard,CBPP + FMD (Foot & Mouth),weekly,high,medium,occasional,1715,0,0,4319897,25768732,21448835,496.51
2020,3,poultry,broiler,battery cage,1335,4,Adamawa,need-to-build,steel-structure,1607,0,866519,24036,5812,5.2,intensive,LaSota + Gumboro + Marek's + IB,weekly,low,low,none,1202,54,0,2514024,3346700,832676,33.12
2020,2,poultry,broiler,semi-intensive,940,4,Adamawa,need-to-build,wooden,1083,2,663984,25549,3597,11.7,standard,LaSota + Gumboro (IBD),quarterly,medium,low,none,1257,51,0,1211108,2295337,1084230,89.52
2020,4,poultry,layer,deep litter,1276,7,Adamawa,need-to-build,wooden,1638,0,952718,37923,6669,11.2,basic,LaSota (Newcastle),monthly,low,high,none,828,52,0,1598112,2062220,464108,29.04
2020,2,poultry,layer,battery cage,1401,9,Adamawa,existing,existing,1700,2,914532,42991,16162,6.8,intensive,LaSota + Gumboro + Marek's + IB,weekly,high,low,none,1355,46,0,1484434,2702865,1218432,82.08
2020,7,cattle,beef,intensive,33,8,Adamawa,need-to-build,wooden,33,4,1346772,15564,22009,3.5,standard,CBPP + FMD (Foot & Mouth),monthly,high,medium,none,1054,0,0,2054578,8391158,6336580,308.41
2020,1,cattle,beef,mixed,67,12,Adamawa,not-required,existing,75,1,3729149,77255,9983,4.5,standard,CBPP + FMD (Foot & Mouth),weekly,high,low,occasional,1576,0,0,3857134,25210090,21352956,553.6
2020,2,poultry,broiler,extensive,891,9,Akwa Ibom,existing,existing,928,0,703409,41746,4137,1.7,minimal,LaSota (Newcastle),quarterly,medium,medium,none,929,40,0,856568,1790068,933500,108.98
2020,3,poultry,broiler,extensive,1704,10,Akwa Ibom,existing,existing,1911,0,1219911,7640,3859,8.2,standard,LaSota + Gumboro (IBD),monthly,low,low,none,1354,30,0,1469970,4659653,3189683,216.99
